20140101 41 402956 2,1,9,10,4,5,7,6,8,3
20140101 42 402957 5,7,3,4,2,1,9,8,6,10
20140101 43 402958 7,4,9,10,1,6,8,3,2,5
20140101 44 402959 4,7,9,2,6,3,10,5,1,8
20140101 45 402960 5,7,6,4,2,3,1,9,10,8
20140101 46 402961 9,6,8,7,3,5,1,4,10,2
20140101 47 402962 4,10,3,7,6,9,8,1,2,5
20140101 48 402963 7,6,8,4,2,9,3,1,5,10
20140101 49 402964 7,2,4,5,10,1,8,3,9,6
20140101 50 402965 6,5,3,8,7,10,1,9,2,4
20140101 51 402966 4,2,8,10,3,1,7,9,6,5
20140101 52 402967 6,4,3,5,7,8,2,10,9,1
20140101 53 402968 1,10,4,3,9,2,8,5,7,6
20140101 54 402969 5,6,1,10,2,3,4,8,7,9
20140101 55 402970 7,1,10,2,4,5,9,8,3,6
20140101 56 402971 2,8,1,7,3,9,5,10,4,6
20140101 57 402972 9,8,4,7,1,10,2,5,3,6
20140101 58 402973 7,8,4,9,5,3,2,6,10,1
20140101 59 402974 5,1,7,8,10,9,4,6,3,2
20140101 60 402975 8,3,2,7,5,1,10,6,9,4
20140101 61 402976 3,9,6,10,8,4,5,1,2,7
20140101 62 402977 1,10,5,8,7,3,6,9,4,2
20140101 63 402978 8,7,9,6,2,10,1,4,3,5
20140101 64 402979 6,1,10,5,7,9,2,3,4,8
20140101 65 402980 8,4,10,3,7,1,5,6,9,2
20140101 66 402981 1,5,2,10,9,8,4,3,7,6
20140101 67 402982 5,4,8,9,6,10,1,3,7,2
20140101 68 402983 7,3,8,6,1,10,4,2,5,9
20140101 69 402984 9,4,1,8,2,3,5,6,10,7
20140101 70 402985 8,10,6,4,5,3,7,2,9,1
20140101 71 402986 9,1,7,3,5,6,4,10,8,2
20140101 72 402987 4,2,9,10,5,7,1,6,3,8
20140101 73 402988 1,10,9,4,8,7,5,6,2,3
20140101 74 402989 2,8,6,7,5,9,1,3,10,4
20140101 75 402990 4,2,10,1,7,5,8,9,6,3
20140101 76 402991 2,6,9,7,3,1,5,4,8,10
20140101 77 402992 10,8,5,7,3,9,4,2,1,6
20140101 78 402993 6,4,9,2,1,8,3,5,7,10
20140101 79 402994 9,1,6,3,10,7,8,2,4,5
20140101 80 402995 8,4,1,5,6,2,10,7,9,3
20140101 81 402996 6,10,8,3,2,1,7,4,9,5
20140101 82 402997 9,7,1,5,10,2,6,4,3,8
20140101 83 402998 5,7,1,9,3,10,6,8,2,4
20140101 84 402999 2,8,9,3,6,1,5,10,4,7
20140101 85 403000 4,3,8,1,7,9,5,2,6,10
20140101 86 403001 7,8,2,5,1,4,9,10,3,6
20140101 87 403002 6,4,9,7,1,10,2,3,8,5
20140101 88 403003 4,6,3,9,2,1,7,10,5,8
20140101 89 403004 9,6,1,5,2,8,4,3,10,7
20140101 90 403005 9,10,8,2,5,7,6,1,4,3
20140101 91 403006 10,3,6,9,1,7,2,4,8,5
20140101 92 403007 1,5,6,10,7,4,3,9,8,2
20140101 93 403008 3,6,8,2,10,7,1,4,5,9
20140101 94 403009 1,6,8,10,9,4,2,5,3,7
20140101 95 403010 6,7,1,8,5,3,9,10,2,4
20140101 96 403011 8,7,5,4,2,9,3,10,6,1
20140101 97 403012 9,4,1,10,8,2,6,5,7,3
20140101 98 403013 4,1,7,6,10,5,9,2,3,8
20140101 99 403014 6,9,3,10,2,5,1,7,4,8
20140101 100 403015 8,5,10,4,9,7,3,1,2,6
20140101 101 403016 10,3,7,2,4,9,6,1,5,8
20140101 102 403017 6,3,4,10,8,1,2,5,9,7
20140101 103 403018 9,5,8,4,7,2,6,10,3,1
20140101 104 403019 6,9,5,4,8,2,7,10,3,1
20140101 105 403020 1,5,4,7,3,2,9,8,6,10
20140101 106 403021 4,9,7,2,8,10,3,5,6,1
20140101 107 403022 5,7,10,8,6,9,2,4,1,3
20140101 108 403023 3,8,2,4,10,6,7,9,5,1
20140101 109 403024 4,8,7,9,6,3,5,10,1,2
20140101 110 403025 7,9,4,3,2,1,5,10,6,8
20140101 111 403026 3,10,7,1,4,5,8,2,6,9
20140101 112 403027 10,3,7,1,9,5,8,6,4,2
20140101 113 403028 5,9,2,10,7,8,1,6,3,4
20140101 114 403029 2,8,5,9,4,3,6,7,10,1
